pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.8,8.9,330,21.9,1
7.6,9.7,308,20.6,1
6.5,9.4,470,20.9,1
7.9,8.5,528,19.3,1
7.3,8.9,500,18.1,1
7.4,9,280,18.9,1
7.6,8.7,303,17.7,1
7.5,8.1,410,18.3,1
6.8,8.6,455,13.7,1
7.6,7.4,540,15,1
7.9,8.1,440,11.2,1
7.1,7.2,350,10.8,1
8,7.7,340,8.3,1
7.8,7.1,545,4.7,1
7.1,5.6,635,8.8,1
7.8,8.2,618,9.4,1
7.4,8.7,655,15.1,1
8.2,9.7,650,15.1,0
7.5,9.9,725,12,1
8.1,10.9,745,14.4,0
7.7,9.9,600,14.3,1
7.7,8.5,365,15.6,1
8.1,9.9,450,17.5,0
8,8.1,510,18.2,1
7.5,9.1,440,24.3,1
8.2,9.3,400,18.3,0
7.7,8.6,345,19.5,1
7,8.3,410,24.8,1
6.7,9.1,452,20.8,1
7.1,9,408,21.2,1
6.8,9.8,370,20.8,1
7.2,9,387,21.8,1
6.7,7.9,410,21.4,1
7.5,8.4,242,19.6,1
7.7,7,225,22.4,1
7.8,7.2,330,22.8,1
7,6.8,304,21.5,1
7.3,10.9,300,22.7,0
7,6.8,348,18,1
7.5,7.3,310,13.7,1
7.4,8.3,465,13.8,1
7.2,7,440,9.5,1
7.8,7.5,430,7.9,1
6.9,7.6,265,8.9,1
7.9,8.6,300,8.2,1
7.6,8.7,370,7.5,1
8,9.8,430,10,1
8.5,10.1,530,11.6,0
7.5,8.4,440,13.9,1
7.1,8.9,340,15.3,1
7.8,10.2,320,14.8,0
7.6,8.9,460,16.7,1
7.4,9,530,17.6,1
7.2,8.1,440,17.8,1
7.18,9,500,18.5,1
7.1,7.3,600,15.9,1
7.4,8.4,540,19.8,1
7.4,8.4,370,21.2,1
7.5,7.4,390,21.7,1
7.5,7.3,470,19.3,1
7.9,8.2,420,20.6,1
7.9,7.3,300,23.9,1
7.3,7.2,340,21.4,1
8,6.8,400,18.8,1
7.5,6.8,590,22.7,1
7.5,7.9,400,22.1,1
7.2,8.5,380,22,1
7.5,8,380,20.4,1
7.7,9.76,400,23,1
7.2,10.1,240,26.7,0
7.6,9.6,210,25.4,1
7.6,9.1,330,22,1
7.6,8.6,300,21.6,1
7.2,8.6,285,21.7,1
8.1,8.4,320,20.7,0
7.6,6.4,450,19.8,1
6.65,10.5,600,20.8,0
6.8,10,700,13.6,1
7.2,10.2,675,14,0
7.4,8.5,625,12.5,1
7.6,9.6,400,9.8,1
7.6,9.3,480,9.8,1
7.4,7.3,500,9.8,1
7,6.7,530,9.8,1
7.5,8.2,500,11.4,1
7.3,8.2,575,13.6,1
7.8,7.4,580,11.8,1
7.8,7.2,500,12.9,1
7.9,7.2,500,15.5,1
7.7,7.8,410,17.5,1
8.1,7.8,400,16.7,0
7.7,8,440,18.1,1
7.7,8.6,430,17.4,1
7.7,9.2,630,17.8,1
7.9,9.7,550,17.9,1
7,8.3,545,21.2,1
7,9.2,480,21.4,1
7.9,9.4,510,23.4,1
7.8,10,510,24.1,1
7.9,8.9,505,21.5,1
8.2,7.8,420,21.6,0
7.4,7.2,480,21.4,1
7.5,7.9,460,23,1
7.3,7.2,420,24.1,1
7,8.5,590,21.4,1
7.8,10.2,450,20.7,0
8,10.4,450,19.7,0
7.6,10,440,18.6,1
8.1,9.8,450,18,0
7.6,8.5,460,15.2,1
8.1,8.8,480,11.8,0
8,8.5,500,10.2,1
7.3,8,625,10.6,1
7.9,9.5,600,7.5,1
8.4,8.5,530,8.6,0
7.6,9.2,600,9.8,1
7.6,10.4,600,11.4,0
7.5,9.8,700,11.4,1
7.8,9.8,725,16.7,1
7.9,9.7,515,14.5,1
7.4,9.4,530,18.8,1
8.2,9.3,500,18.5,0
7.7,7.7,530,16.5,1
7.7,8.6,525,17.4,1
7.9,7.7,580,17.2,1
7.2,8.7,600,19.1,1
7.5,10,540,20.2,1
7.5,10.1,420,23.9,0
7.9,8.8,410,23.8,1
7.3,7.5,440,25,1
8.4,7.9,480,23.3,0
7.6,6.9,460,21.2,1
7.8,7.8,650,22.5,1
7.5,7.7,560,15.3,1
7.5,10,545,16.8,1
7.7,8.6,520,10.4,1
7.6,10.2,535,11.2,0
7.2,10,530,8.1,1
7.9,7.8,460,8.9,1
8,8.3,490,12,1
8.2,7.3,500,10.9,0
8.3,7.4,500,13.4,0
8.4,8.2,480,11.5,0
7.4,8.2,625,15.1,1
7.8,8.9,460,14.6,1
8.1,8.6,450,14.3,0
8,9.4,460,17.4,1
7.4,9.1,470,17.3,1
8.3,9.1,500,19.5,0
7.9,6.7,650,17.3,1
7.3,7,625,20.5,1
8,6.7,500,22.4,1
7.4,2,575,23.5,0
7.9,7.7,600,22.5,1
7.4,9.3,700,24.6,1
7.9,9.1,625,22.2,1
7.9,9.5,560,22.8,1
7.5,8.6,530,23.5,1
7.7,9.1,500,19,1
7.7,8.6,530,19.8,1
7.8,9.6,525,15.9,1
7.6,8.4,580,16.8,1
8,8.4,600,15.3,1
8.3,8.4,570,13.6,0
7.8,7.9,420,10.3,1
7.5,7.1,420,10.6,1
7.9,7.3,460,14.2,1
7.5,7.4,490,16.1,1
7.4,8.5,660,15.5,1
8.3,7.3,580,16.7,0
7.6,9.2,585,17.3,1
7.7,8.7,570,17.4,1
7.7,9.1,555,17.8,1
8,9.2,550,23.4,1
8.2,9.5,470,27.2,0
7.7,8.8,520,27.1,1
7.9,7.8,520,27.79,1
7.9,6.9,500,20.1,1
7.6,6.7,650,20.1,1
7.4,8,340,20.29,1
7,836,340,20.79,0
7.1,9.2,360,21.4,1
7.7,9.8,505,21.4,1
7.4,10,500,20.5,1
7.3,10.1,540,21,0
7.4,10.6,475,17,0
7.3,7.8,320,22.9,1
8,7.1,500,16.5,1
8.2,7.4,560,16.7,0
7.9,7.4,625,29,1
7.9,7.5,725,29.7,1
7.9,6.5,440,23.6,1
7.7,8.7,480,23.89,1
7.3,7.9,480,18.79,1
7.7,8.8,415,19.1,1
7.5,8.8,430,19.89,1
7.4,8.8,440,21.8,1
7.4,11.4,425,22.8,0
7.2,8.5,430,24.79,1
7.3,7.9,480,25.1,1
7.1,9.9,385,29.2,1
7.3,8,390,29.1,1
7.5,6.4,340,29.7,1
7.6,8,420,19.29,1
8.12,8,310,19.6,0
7.8,8.1,330,20.89,1
7.8,9.2,330,29.39,1
7.7,9.4,395,30.2,1
7.7,9.2,625,30.5,1
8,10.4,420,25.8,0
7.8,9.3,500,18.2,1
7.7,8.6,1000,19,1
7.8,8.7,360,19.39,1
7.8,8,680,22.5,1
8.1,7.6,580,19.39,0
7.7,9.1,800,19.6,1
7.7,9.8,1000,19.39,1
7.7,8.6,740,19.29,1
8.1,8.6,420,19.5,0
8,9.4,500,23.79,1
7.8,11.9,560,25,0
8,7.7,540,25,1
7.9,11,460,23.1,0
7.5,8.4,480,23.1,1
7.9,11.3,500,19.89,0
8.1,8.1,430,20.2,0
